chunk_id,text
69,Medicine Name: Zincovit. Strength: 10ml. Used for: Diabetes. Alternative medicines: Levocetirizine. Stock Available: NO. Dosage: As directed by doctor.
70,Medicine Name: Clarithromycin. Strength: 10ml. Used for: Immunity Boost. Alternative medicines: Diclofenac. Stock Available: NO. Dosage: 1 tablet daily.
71,Medicine Name: Levocetirizine. Strength: 650mg. Used for: Inflammation. Alternative medicines: Azithromycin. Stock Available: YES. Dosage: 1 tablet daily.
72,Medicine Name: Levocetirizine. Strength: 400mg. Used for: Bacterial Infection. Alternative medicines: Crocin. Stock Available: NO. Dosage: As directed by doctor.
73,Medicine Name: Famotidine. Strength: 400mg. Used for: Allergy. Alternative medicines: Dolo. Stock Available: NO. Dosage: As directed by doctor.
74,Medicine Name: Zincovit. Strength: 500mg. Used for: Acidity. Alternative medicines: Electral. Stock Available: YES. Dosage: 1 tablet at night.
75,Medicine Name: Clarithromycin. Strength: 250mg. Used for: Diabetes. Alternative medicines: ORS. Stock Available: YES. Dosage: 1 tablet daily.
76,Medicine Name: Insulin. Strength: 250mg. Used for: Bacterial Infection. Alternative medicines: Metformin. Stock Available: NO. Dosage: 1 tablet at night.
77,Medicine Name: Zincovit. Strength: 400mg. Used for: Acidity. Alternative medicines: Famotidine. Stock Available: NO. Dosage: 1 tablet at night.
78,Medicine Name: Ranitidine. Strength: 250mg. Used for: Dehydration. Alternative medicines: Paracetamol. Stock Available: NO. Dosage: 1 tablet daily.
79,Medicine Name: Vitamin C. Strength: 650mg. Used for: Acidity. Alternative medicines: Famotidine. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
80,Medicine Name: Crocin. Strength: 650mg. Used for: Throat Infection. Alternative medicines: Ranitidine. Stock Available: YES. Dosage: 1 capsule every 8 hrs.
81,Medicine Name: Insulin. Strength: 100mg. Used for: Dehydration. Alternative medicines: Paracetamol. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
82,Medicine Name: Amoxicillin. Strength: 250mg. Used for: Throat Infection. Alternative medicines: Cetirizine. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
83,Medicine Name: Amoxicillin. Strength: 250mg. Used for: Bacterial Infection. Alternative medicines: Metformin. Stock Available: NO. Dosage: 1 tablet every 6 hrs.
84,Medicine Name: Cetirizine. Strength: 650mg. Used for: Throat Infection. Alternative medicines: Dolo. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
85,Medicine Name: Ranitidine. Strength: 650mg. Used for: Diabetes. Alternative medicines: ORS. Stock Available: NO. Dosage: 1 tablet after meals.
86,Medicine Name: Vitamin C. Strength: 500mg. Used for: Headache. Alternative medicines: Paracetamol. Stock Available: NO. Dosage: As directed by doctor.
87,Medicine Name: Electral. Strength: 200ml. Used for: Acidity. Alternative medicines: Vitamin C. Stock Available: NO. Dosage: 1 tablet after meals.
88,Medicine Name: Ibuprofen. Strength: 500mg. Used for: Pain. Alternative medicines: Azithromycin. Stock Available: NO. Dosage: 1 tablet every 6 hrs.
89,Medicine Name: Zincovit. Strength: 250mg. Used for: Immunity Boost. Alternative medicines: Amoxicillin. Stock Available: YES. Dosage: 1 capsule every 8 hrs.
90,Medicine Name: Levocetirizine. Strength: 500mg. Used for: Headache. Alternative medicines: Glimepiride. Stock Available: YES. Dosage: 1 tablet after meals.
91,Medicine Name: Ibuprofen. Strength: 400mg. Used for: Headache. Alternative medicines: Dolo. Stock Available: NO. Dosage: 1 tablet every 6 hrs.
92,Medicine Name: Metformin. Strength: 650mg. Used for: Cold. Alternative medicines: Metformin. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
93,Medicine Name: Ranitidine. Strength: 100mg. Used for: Throat Infection. Alternative medicines: Azithromycin. Stock Available: NO. Dosage: As directed by doctor.
94,Medicine Name: Dolo. Strength: 10ml. Used for: Cold. Alternative medicines: Clarithromycin. Stock Available: YES. Dosage: 1 tablet every 6 hrs.
95,Medicine Name: Vitamin C. Strength: 10ml. Used for: Immunity Boost. Alternative medicines: Cetirizine. Stock Available: YES. Dosage: 1 capsule every 8 hrs.
96,Medicine Name: Famotidine. Strength: 100mg. Used for: Diabetes. Alternative medicines: ORS. Stock Available: YES. Dosage: 1 tablet at night.
97,Medicine Name: Zincovit. Strength: 400mg. Used for: Pain. Alternative medicines: Vitamin C. Stock Available: NO. Dosage: 1 tablet at night.
98,Medicine Name: Paracetamol. Strength: 250mg. Used for: Throat Infection. Alternative medicines: ORS. Stock Available: YES. Dosage: 1 tablet every 6 hrs.
99,Medicine Name: Electral. Strength: 200ml. Used for: Diabetes. Alternative medicines: Ranitidine. Stock Available: YES. Dosage: 1 capsule every 8 hrs.
100,Medicine Name: Crocin. Strength: 400mg. Used for: Acidity. Alternative medicines: Azithromycin. Stock Available: NO. Dosage: As directed by doctor.
101,Medicine Name: Ranitidine. Strength: 10ml. Used for: Allergy. Alternative medicines: ORS. Stock Available: YES. Dosage: 1 tablet daily.
102,Medicine Name: Levocetirizine. Strength: 100mg. Used for: Inflammation. Alternative medicines: Glimepiride. Stock Available: YES. Dosage: 1 capsule every 8 hrs.
103,Medicine Name: Amoxicillin. Strength: 250mg. Used for: Cold. Alternative medicines: Insulin. Stock Available: YES. Dosage: 1 tablet daily.
104,Medicine Name: Azithromycin. Strength: 10ml. Used for: Dehydration. Alternative medicines: Paracetamol. Stock Available: NO. Dosage: 1 tablet every 6 hrs.
105,Medicine Name: Crocin. Strength: 650mg. Used for: Diabetes. Alternative medicines: Paracetamol. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
106,Medicine Name: Amoxicillin. Strength: 200ml. Used for: Cold. Alternative medicines: Amoxicillin. Stock Available: YES. Dosage: 1 tablet at night.
107,Medicine Name: Cetirizine. Strength: 650mg. Used for: Pain. Alternative medicines: Ranitidine. Stock Available: NO. Dosage: As directed by doctor.
108,Medicine Name: Crocin. Strength: 400mg. Used for: Pain. Alternative medicines: Crocin. Stock Available: NO. Dosage: 1 tablet after meals.
109,Medicine Name: Zincovit. Strength: 500mg. Used for: Acidity. Alternative medicines: Cetirizine. Stock Available: YES. Dosage: 1 tablet at night.
110,Medicine Name: Metformin. Strength: 100mg. Used for: Pain. Alternative medicines: Amoxicillin. Stock Available: NO. Dosage: 1 tablet daily.
111,Medicine Name: Metformin. Strength: 500mg. Used for: Throat Infection. Alternative medicines: Vitamin C. Stock Available: YES. Dosage: 1 tablet daily.
112,Medicine Name: Electral. Strength: 10ml. Used for: Diabetes. Alternative medicines: Amoxicillin. Stock Available: YES. Dosage: 1 tablet daily.
113,Medicine Name: Dolo. Strength: 200ml. Used for: Dehydration. Alternative medicines: Vitamin C. Stock Available: YES. Dosage: As directed by doctor.
114,Medicine Name: Levocetirizine. Strength: 200ml. Used for: Bacterial Infection. Alternative medicines: Paracetamol. Stock Available: YES. Dosage: As directed by doctor.
115,Medicine Name: Insulin. Strength: 250mg. Used for: Acidity. Alternative medicines: Famotidine. Stock Available: YES. Dosage: As directed by doctor.
116,Medicine Name: Crocin. Strength: 100mg. Used for: Throat Infection. Alternative medicines: Insulin. Stock Available: YES. Dosage: 1 tablet every 6 hrs.
117,Medicine Name: Clarithromycin. Strength: 400mg. Used for: Inflammation. Alternative medicines: Azithromycin. Stock Available: NO. Dosage: 1 tablet every 6 hrs.
118,Medicine Name: Dolo. Strength: 400mg. Used for: Fever. Alternative medicines: Clarithromycin. Stock Available: YES. Dosage: 1 tablet at night.
119,Medicine Name: Paracetamol. Strength: 250mg. Used for: Inflammation. Alternative medicines: Crocin. Stock Available: NO. Dosage: 1 tablet daily.
120,Medicine Name: Amoxicillin. Strength: 400mg. Used for: Throat Infection. Alternative medicines: Crocin. Stock Available: YES. Dosage: 1 tablet after meals.
121,Medicine Name: Clarithromycin. Strength: 500mg. Used for: Acidity. Alternative medicines: Amoxicillin. Stock Available: YES. Dosage: 1 capsule every 8 hrs.
122,Medicine Name: Paracetamol. Strength: 500mg. Used for: Fever. Alternative medicines: Vitamin C. Stock Available: NO. Dosage: 1 tablet daily.
123,Medicine Name: Paracetamol. Strength: 500mg. Used for: Throat Infection. Alternative medicines: Ranitidine. Stock Available: NO. Dosage: 1 tablet after meals.
124,Medicine Name: Electral. Strength: 100mg. Used for: Bacterial Infection. Alternative medicines: Clarithromycin. Stock Available: YES. Dosage: 1 tablet daily.
125,Medicine Name: Azithromycin. Strength: 100mg. Used for: Inflammation. Alternative medicines: Zincovit. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
126,Medicine Name: Cetirizine. Strength: 400mg. Used for: Acidity. Alternative medicines: Azithromycin. Stock Available: NO. Dosage: 1 tablet daily.
127,Medicine Name: Dolo. Strength: 500mg. Used for: Allergy. Alternative medicines: Metformin. Stock Available: YES. Dosage: As directed by doctor.
128,Medicine Name: Glimepiride. Strength: 400mg. Used for: Fever. Alternative medicines: Cetirizine. Stock Available: NO. Dosage: 1 tablet every 6 hrs.
129,Medicine Name: Metformin. Strength: 200ml. Used for: Fever. Alternative medicines: Diclofenac. Stock Available: NO. Dosage: 1 tablet daily.
130,Medicine Name: Zincovit. Strength: 200ml. Used for: Dehydration. Alternative medicines: Amoxicillin. Stock Available: NO. Dosage: 1 tablet daily.
131,Medicine Name: Glimepiride. Strength: 100mg. Used for: Acidity. Alternative medicines: Glimepiride. Stock Available: YES. Dosage: 1 tablet every 6 hrs.
132,Medicine Name: Ors. Strength: 500mg. Used for: Inflammation. Alternative medicines: Ibuprofen. Stock Available: NO. Dosage: 1 tablet daily.
133,Medicine Name: Metformin. Strength: 500mg. Used for: Bacterial Infection. Alternative medicines: Clarithromycin. Stock Available: YES. Dosage: 1 capsule every 8 hrs.
134,Medicine Name: Metformin. Strength: 500mg. Used for: Pain. Alternative medicines: Clarithromycin. Stock Available: NO. Dosage: 1 tablet every 6 hrs.
135,Medicine Name: Insulin. Strength: 100mg. Used for: Headache. Alternative medicines: Cetirizine. Stock Available: NO. Dosage: As directed by doctor.
136,Medicine Name: Crocin. Strength: 500mg. Used for: Headache. Alternative medicines: Insulin. Stock Available: YES. Dosage: 1 tablet at night.
137,Medicine Name: Famotidine. Strength: 200ml. Used for: Inflammation. Alternative medicines: Metformin. Stock Available: NO. Dosage: As directed by doctor.
138,Medicine Name: Glimepiride. Strength: 500mg. Used for: Dehydration. Alternative medicines: Famotidine. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
139,Medicine Name: Levocetirizine. Strength: 250mg. Used for: Throat Infection. Alternative medicines: Crocin. Stock Available: YES. Dosage: 1 tablet every 6 hrs.
140,Medicine Name: Levocetirizine. Strength: 650mg. Used for: Immunity Boost. Alternative medicines: Levocetirizine. Stock Available: NO. Dosage: 1 tablet after meals.
141,Medicine Name: Paracetamol. Strength: 500mg. Used for: Immunity Boost. Alternative medicines: ORS. Stock Available: YES. Dosage: 1 capsule every 8 hrs.
142,Medicine Name: Azithromycin. Strength: 250mg. Used for: Diabetes. Alternative medicines: Insulin. Stock Available: YES. Dosage: 1 capsule every 8 hrs.
143,Medicine Name: Cetirizine. Strength: 200ml. Used for: Inflammation. Alternative medicines: Electral. Stock Available: NO. Dosage: 1 tablet at night.
144,Medicine Name: Ors. Strength: 10ml. Used for: Fever. Alternative medicines: Paracetamol. Stock Available: YES. Dosage: 1 tablet every 6 hrs.
145,Medicine Name: Amoxicillin. Strength: 10ml. Used for: Inflammation. Alternative medicines: Insulin. Stock Available: NO. Dosage: 1 tablet daily.
146,Medicine Name: Zincovit. Strength: 100mg. Used for: Allergy. Alternative medicines: Levocetirizine. Stock Available: YES. Dosage: 1 tablet daily.
147,Medicine Name: Glimepiride. Strength: 500mg. Used for: Bacterial Infection. Alternative medicines: Crocin. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
148,Medicine Name: Ranitidine. Strength: 10ml. Used for: Acidity. Alternative medicines: Electral. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
149,Medicine Name: Electral. Strength: 10ml. Used for: Cold. Alternative medicines: Famotidine. Stock Available: NO. Dosage: 1 tablet after meals.
150,Medicine Name: Crocin. Strength: 400mg. Used for: Pain. Alternative medicines: Ibuprofen. Stock Available: YES. Dosage: 1 capsule every 8 hrs.
151,Medicine Name: Diclofenac. Strength: 100mg. Used for: Immunity Boost. Alternative medicines: Clarithromycin. Stock Available: YES. Dosage: As directed by doctor.
152,Medicine Name: Insulin. Strength: 500mg. Used for: Allergy. Alternative medicines: Electral. Stock Available: YES. Dosage: 1 capsule every 8 hrs.
153,Medicine Name: Metformin. Strength: 200ml. Used for: Bacterial Infection. Alternative medicines: ORS. Stock Available: NO. Dosage: 1 tablet after meals.
154,Medicine Name: Clarithromycin. Strength: 650mg. Used for: Inflammation. Alternative medicines: Crocin. Stock Available: NO. Dosage: 1 tablet every 6 hrs.
155,Medicine Name: Diclofenac. Strength: 250mg. Used for: Dehydration. Alternative medicines: Clarithromycin. Stock Available: NO. Dosage: As directed by doctor.
156,Medicine Name: Amoxicillin. Strength: 10ml. Used for: Allergy. Alternative medicines: Diclofenac. Stock Available: NO. Dosage: 1 tablet at night.
157,Medicine Name: Ibuprofen. Strength: 250mg. Used for: Bacterial Infection. Alternative medicines: Glimepiride. Stock Available: NO. Dosage: 1 tablet every 6 hrs.
158,Medicine Name: Ranitidine. Strength: 500mg. Used for: Pain. Alternative medicines: ORS. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
159,Medicine Name: Amoxicillin. Strength: 500mg. Used for: Headache. Alternative medicines: Ibuprofen. Stock Available: YES. Dosage: 1 tablet after meals.
160,Medicine Name: Azithromycin. Strength: 250mg. Used for: Immunity Boost. Alternative medicines: Clarithromycin. Stock Available: NO. Dosage: 1 tablet every 6 hrs.
161,Medicine Name: Azithromycin. Strength: 200ml. Used for: Immunity Boost. Alternative medicines: Levocetirizine. Stock Available: YES. Dosage: 1 tablet daily.
162,Medicine Name: Zincovit. Strength: 100mg. Used for: Headache. Alternative medicines: Amoxicillin. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
163,Medicine Name: Ranitidine. Strength: 100mg. Used for: Diabetes. Alternative medicines: Paracetamol. Stock Available: YES. Dosage: 1 capsule every 8 hrs.
164,Medicine Name: Paracetamol. Strength: 650mg. Used for: Allergy. Alternative medicines: Electral. Stock Available: NO. Dosage: 1 tablet after meals.
165,Medicine Name: Amoxicillin. Strength: 250mg. Used for: Diabetes. Alternative medicines: Metformin. Stock Available: NO. Dosage: As directed by doctor.
166,Medicine Name: Cetirizine. Strength: 650mg. Used for: Pain. Alternative medicines: Crocin. Stock Available: YES. Dosage: 1 tablet after meals.
167,Medicine Name: Zincovit. Strength: 250mg. Used for: Allergy. Alternative medicines: Famotidine. Stock Available: NO. Dosage: 1 tablet daily.
168,Medicine Name: Azithromycin. Strength: 650mg. Used for: Inflammation. Alternative medicines: Crocin. Stock Available: YES. Dosage: 1 tablet every 6 hrs.
169,Medicine Name: Vitamin C. Strength: 250mg. Used for: Dehydration. Alternative medicines: Diclofenac. Stock Available: YES. Dosage: 1 tablet at night.
170,Medicine Name: Dolo. Strength: 10ml. Used for: Pain. Alternative medicines: ORS. Stock Available: NO. Dosage: 1 tablet after meals.
171,Medicine Name: Ibuprofen. Strength: 250mg. Used for: Fever. Alternative medicines: Metformin. Stock Available: YES. Dosage: 1 capsule every 8 hrs.
172,Medicine Name: Crocin. Strength: 250mg. Used for: Dehydration. Alternative medicines: Cetirizine. Stock Available: YES. Dosage: 1 tablet at night.
173,Medicine Name: Insulin. Strength: 10ml. Used for: Acidity. Alternative medicines: Azithromycin. Stock Available: YES. Dosage: 1 tablet every 6 hrs.
174,Medicine Name: Diclofenac. Strength: 500mg. Used for: Throat Infection. Alternative medicines: Insulin. Stock Available: YES. Dosage: 1 tablet at night.
175,Medicine Name: Electral. Strength: 650mg. Used for: Bacterial Infection. Alternative medicines: Crocin. Stock Available: YES. Dosage: 1 tablet daily.
176,Medicine Name: Paracetamol. Strength: 650mg. Used for: Acidity. Alternative medicines: Glimepiride. Stock Available: NO. Dosage: 1 tablet every 6 hrs.
177,Medicine Name: Levocetirizine. Strength: 500mg. Used for: Headache. Alternative medicines: Zincovit. Stock Available: NO. Dosage: As directed by doctor.
178,Medicine Name: Cetirizine. Strength: 650mg. Used for: Acidity. Alternative medicines: Ibuprofen. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
179,Medicine Name: Ibuprofen. Strength: 250mg. Used for: Throat Infection. Alternative medicines: Metformin. Stock Available: YES. Dosage: 1 tablet every 6 hrs.
180,Medicine Name: Levocetirizine. Strength: 500mg. Used for: Pain. Alternative medicines: Levocetirizine. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
181,Medicine Name: Diclofenac. Strength: 250mg. Used for: Headache. Alternative medicines: Famotidine. Stock Available: YES. Dosage: As directed by doctor.
182,Medicine Name: Glimepiride. Strength: 100mg. Used for: Allergy. Alternative medicines: Amoxicillin. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
183,Medicine Name: Zincovit. Strength: 200ml. Used for: Inflammation. Alternative medicines: Levocetirizine. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
184,Medicine Name: Famotidine. Strength: 500mg. Used for: Pain. Alternative medicines: Zincovit. Stock Available: YES. Dosage: 1 tablet every 6 hrs.
185,Medicine Name: Paracetamol. Strength: 10ml. Used for: Bacterial Infection. Alternative medicines: Dolo. Stock Available: YES. Dosage: 1 tablet after meals.
186,Medicine Name: Ors. Strength: 250mg. Used for: Bacterial Infection. Alternative medicines: Metformin. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
187,Medicine Name: Electral. Strength: 250mg. Used for: Bacterial Infection. Alternative medicines: Clarithromycin. Stock Available: NO. Dosage: 1 capsule every 8 hrs.
