Medicine_ID,Medicine_Name,Strength,Use_Case,Alternative,Stock,Dosage_Instruction
127,Dolo,500mg,Allergy,Metformin,Yes,As directed by doctor
128,Glimepiride,400mg,Fever,Cetirizine,No,1 tablet every 6 hrs
129,Metformin,200ml,Fever,Diclofenac,No,1 tablet daily
130,Zincovit,200ml,Dehydration,Amoxicillin,No,1 tablet daily
131,Glimepiride,100mg,Acidity,Glimepiride,Yes,1 tablet every 6 hrs
132,ORS,500mg,Inflammation,Ibuprofen,No,1 tablet daily
133,Metformin,500mg,Bacterial Infection,Clarithromycin,Yes,1 capsule every 8 hrs
134,Metformin,500mg,Pain,Clarithromycin,No,1 tablet every 6 hrs
135,Insulin,100mg,Headache,Cetirizine,No,As directed by doctor
136,Crocin,500mg,Headache,Insulin,Yes,1 tablet at night
137,Famotidine,200ml,Inflammation,Metformin,No,As directed by doctor
138,Glimepiride,500mg,Dehydration,Famotidine,No,1 capsule every 8 hrs
139,Levocetirizine,250mg,Throat Infection,Crocin,Yes,1 tablet every 6 hrs
140,Levocetirizine,650mg,Immunity Boost,Levocetirizine,No,1 tablet after meals
141,Paracetamol,500mg,Immunity Boost,ORS,Yes,1 capsule every 8 hrs
142,Azithromycin,250mg,Diabetes,Insulin,Yes,1 capsule every 8 hrs
143,Cetirizine,200ml,Inflammation,Electral,No,1 tablet at night
144,ORS,10ml,Fever,Paracetamol,Yes,1 tablet every 6 hrs
145,Amoxicillin,10ml,Inflammation,Insulin,No,1 tablet daily
146,Zincovit,100mg,Allergy,Levocetirizine,Yes,1 tablet daily
147,Glimepiride,500mg,Bacterial Infection,Crocin,No,1 capsule every 8 hrs
148,Ranitidine,10ml,Acidity,Electral,No,1 capsule every 8 hrs
149,Electral,10ml,Cold,Famotidine,No,1 tablet after meals
150,Crocin,400mg,Pain,Ibuprofen,Yes,1 capsule every 8 hrs
151,Diclofenac,100mg,Immunity Boost,Clarithromycin,Yes,As directed by doctor
152,Insulin,500mg,Allergy,Electral,Yes,1 capsule every 8 hrs
153,Metformin,200ml,Bacterial Infection,ORS,No,1 tablet after meals
154,Clarithromycin,650mg,Inflammation,Crocin,No,1 tablet every 6 hrs
155,Diclofenac,250mg,Dehydration,Clarithromycin,No,As directed by doctor
156,Amoxicillin,10ml,Allergy,Diclofenac,No,1 tablet at night
157,Ibuprofen,250mg,Bacterial Infection,Glimepiride,No,1 tablet every 6 hrs
158,Ranitidine,500mg,Pain,ORS,No,1 capsule every 8 hrs
159,Amoxicillin,500mg,Headache,Ibuprofen,Yes,1 tablet after meals
160,Azithromycin,250mg,Immunity Boost,Clarithromycin,No,1 tablet every 6 hrs
161,Azithromycin,200ml,Immunity Boost,Levocetirizine,Yes,1 tablet daily
162,Zincovit,100mg,Headache,Amoxicillin,No,1 capsule every 8 hrs
163,Ranitidine,100mg,Diabetes,Paracetamol,Yes,1 capsule every 8 hrs
164,Paracetamol,650mg,Allergy,Electral,No,1 tablet after meals
165,Amoxicillin,250mg,Diabetes,Metformin,No,As directed by doctor
166,Cetirizine,650mg,Pain,Crocin,Yes,1 tablet after meals
167,Zincovit,250mg,Allergy,Famotidine,No,1 tablet daily
168,Azithromycin,650mg,Inflammation,Crocin,Yes,1 tablet every 6 hrs
169,Vitamin C,250mg,Dehydration,Diclofenac,Yes,1 tablet at night
170,Dolo,10ml,Pain,ORS,No,1 tablet after meals
171,Ibuprofen,250mg,Fever,Metformin,Yes,1 capsule every 8 hrs
172,Crocin,250mg,Dehydration,Cetirizine,Yes,1 tablet at night
173,Insulin,10ml,Acidity,Azithromycin,Yes,1 tablet every 6 hrs
174,Diclofenac,500mg,Throat Infection,Insulin,Yes,1 tablet at night
175,Electral,650mg,Bacterial Infection,Crocin,Yes,1 tablet daily
176,Paracetamol,650mg,Acidity,Glimepiride,No,1 tablet every 6 hrs
177,Levocetirizine,500mg,Headache,Zincovit,No,As directed by doctor
178,Cetirizine,650mg,Acidity,Ibuprofen,No,1 capsule every 8 hrs
179,Ibuprofen,250mg,Throat Infection,Metformin,Yes,1 tablet every 6 hrs
180,Levocetirizine,500mg,Pain,Levocetirizine,No,1 capsule every 8 hrs
181,Diclofenac,250mg,Headache,Famotidine,Yes,As directed by doctor
182,Glimepiride,100mg,Allergy,Amoxicillin,No,1 capsule every 8 hrs
183,Zincovit,200ml,Inflammation,Levocetirizine,No,1 capsule every 8 hrs
184,Famotidine,500mg,Pain,Zincovit,Yes,1 tablet every 6 hrs
185,Paracetamol,10ml,Bacterial Infection,Dolo,Yes,1 tablet after meals
186,ORS,250mg,Bacterial Infection,Metformin,No,1 capsule every 8 hrs
187,Electral,250mg,Bacterial Infection,Clarithromycin,No,1 capsule every 8 hrs
188,Glimepiride,500mg,Allergy,Ibuprofen,Yes,1 tablet daily
189,Dolo,500mg,Cold,Clarithromycin,No,As directed by doctor
190,Electral,250mg,Throat Infection,Levocetirizine,No,As directed by doctor
191,Crocin,250mg,Pain,Famotidine,Yes,1 tablet at night
192,Paracetamol,100mg,Pain,Cetirizine,No,1 tablet after meals
193,Famotidine,200ml,Cold,Clarithromycin,No,1 tablet after meals
194,Famotidine,10ml,Throat Infection,Paracetamol,No,As directed by doctor
195,Levocetirizine,200ml,Pain,Clarithromycin,Yes,1 tablet every 6 hrs
196,Crocin,650mg,Cold,Ibuprofen,Yes,1 capsule every 8 hrs
197,Ranitidine,250mg,Cold,Famotidine,No,1 tablet daily
198,Clarithromycin,500mg,Allergy,Diclofenac,Yes,1 tablet at night
199,Azithromycin,200ml,Headache,Cetirizine,Yes,1 tablet daily
200,Crocin,250mg,Acidity,Dolo,No,1 tablet at night
201,Ibuprofen,250mg,Headache,Levocetirizine,Yes,1 tablet every 6 hrs
202,Cetirizine,650mg,Pain,Zincovit,Yes,As directed by doctor
203,Famotidine,100mg,Pain,Vitamin C,No,As directed by doctor
204,Metformin,650mg,Immunity Boost,Metformin,Yes,1 capsule every 8 hrs
205,Diclofenac,200ml,Allergy,Ibuprofen,Yes,1 tablet every 6 hrs
206,Famotidine,400mg,Allergy,Insulin,Yes,1 tablet after meals
207,Diclofenac,250mg,Cold,Ranitidine,No,1 tablet every 6 hrs
208,Famotidine,10ml,Fever,Paracetamol,No,1 capsule every 8 hrs
209,Levocetirizine,250mg,Immunity Boost,Vitamin C,No,1 tablet at night
210,Cetirizine,200ml,Diabetes,Famotidine,No,1 tablet after meals
211,Crocin,10ml,Headache,Azithromycin,No,1 tablet daily
212,Metformin,100mg,Throat Infection,Paracetamol,Yes,1 tablet daily
213,Ranitidine,650mg,Pain,Levocetirizine,No,1 tablet at night
214,Vitamin C,650mg,Allergy,Vitamin C,Yes,1 tablet after meals
215,ORS,650mg,Allergy,Crocin,Yes,1 capsule every 8 hrs
216,Zincovit,500mg,Throat Infection,Ibuprofen,No,1 tablet every 6 hrs
217,Ibuprofen,100mg,Pain,Cetirizine,Yes,1 tablet at night
218,Ranitidine,500mg,Headache,Vitamin C,No,1 tablet daily
219,Ranitidine,250mg,Acidity,Clarithromycin,No,1 tablet daily
220,Cetirizine,400mg,Bacterial Infection,Glimepiride,Yes,1 tablet at night
221,Azithromycin,250mg,Headache,Crocin,No,1 tablet every 6 hrs
222,Insulin,100mg,Bacterial Infection,Electral,No,1 tablet after meals
223,Paracetamol,250mg,Fever,ORS,No,1 tablet every 6 hrs
224,Glimepiride,400mg,Headache,Ranitidine,No,1 capsule every 8 hrs
225,Azithromycin,400mg,Inflammation,Famotidine,No,1 capsule every 8 hrs
226,Cetirizine,100mg,Fever,Levocetirizine,Yes,1 tablet after meals
227,Levocetirizine,500mg,Inflammation,Electral,Yes,As directed by doctor
228,Dolo,250mg,Dehydration,Azithromycin,No,1 tablet after meals
229,Vitamin C,10ml,Cold,Azithromycin,No,As directed by doctor
230,Vitamin C,650mg,Headache,Zincovit,Yes,1 tablet daily
231,Levocetirizine,10ml,Allergy,ORS,No,1 tablet every 6 hrs
232,Electral,100mg,Headache,Diclofenac,No,As directed by doctor
233,Amoxicillin,100mg,Diabetes,Vitamin C,Yes,1 tablet daily
234,Metformin,250mg,Throat Infection,Paracetamol,No,1 tablet every 6 hrs
235,Diclofenac,400mg,Immunity Boost,Azithromycin,Yes,1 tablet daily
236,Vitamin C,10ml,Pain,Metformin,No,1 tablet every 6 hrs
237,Electral,10ml,Dehydration,Diclofenac,Yes,1 tablet every 6 hrs
238,Cetirizine,650mg,Fever,Zincovit,No,1 tablet after meals
239,Paracetamol,200ml,Immunity Boost,Paracetamol,Yes,1 capsule every 8 hrs
240,Vitamin C,200ml,Dehydration,ORS,No,1 capsule every 8 hrs
241,Ibuprofen,100mg,Cold,Zincovit,Yes,1 tablet at night
242,Insulin,250mg,Fever,Cetirizine,Yes,1 tablet every 6 hrs
243,Famotidine,100mg,Diabetes,Crocin,No,1 tablet every 6 hrs
244,Dolo,500mg,Allergy,Crocin,Yes,1 tablet daily
245,Levocetirizine,650mg,Bacterial Infection,Azithromycin,Yes,1 tablet every 6 hrs
246,Ibuprofen,10ml,Headache,Vitamin C,No,1 tablet every 6 hrs
247,Crocin,200ml,Immunity Boost,Diclofenac,Yes,As directed by doctor
248,Dolo,650mg,Dehydration,Vitamin C,No,1 tablet daily
249,Levocetirizine,500mg,Inflammation,Cetirizine,No,1 tablet daily
250,Amoxicillin,200ml,Headache,Clarithromycin,No,As directed by doctor
251,Zincovit,10ml,Bacterial Infection,Glimepiride,No,1 capsule every 8 hrs
252,Electral,100mg,Inflammation,Glimepiride,Yes,As directed by doctor
253,Paracetamol,250mg,Cold,Diclofenac,No,1 tablet at night
254,Diclofenac,200ml,Throat Infection,Cetirizine,No,1 tablet every 6 hrs
255,Vitamin C,250mg,Headache,Cetirizine,Yes,1 tablet at night
256,Crocin,650mg,Inflammation,Amoxicillin,Yes,1 tablet every 6 hrs
257,Diclofenac,500mg,Bacterial Infection,Insulin,No,1 tablet daily
258,Diclofenac,10ml,Pain,Electral,No,1 tablet at night
259,Famotidine,10ml,Diabetes,Azithromycin,Yes,1 tablet daily
260,Dolo,250mg,Pain,Famotidine,No,1 tablet daily
261,Paracetamol,650mg,Dehydration,Vitamin C,No,1 capsule every 8 hrs
262,Glimepiride,650mg,Dehydration,Ibuprofen,No,1 capsule every 8 hrs
263,Glimepiride,250mg,Dehydration,Metformin,Yes,1 tablet daily
264,Vitamin C,400mg,Throat Infection,Cetirizine,No,1 tablet every 6 hrs
265,Electral,10ml,Inflammation,Metformin,Yes,1 tablet daily
266,Cetirizine,400mg,Cold,Paracetamol,No,1 capsule every 8 hrs
267,Ranitidine,100mg,Immunity Boost,Clarithromycin,No,1 tablet daily
268,Famotidine,10ml,Headache,ORS,Yes,As directed by doctor
269,Paracetamol,250mg,Dehydration,Diclofenac,No,1 tablet after meals
270,Amoxicillin,200ml,Bacterial Infection,Paracetamol,Yes,1 capsule every 8 hrs
271,ORS,400mg,Cold,Ranitidine,No,1 tablet at night
272,Insulin,200ml,Inflammation,ORS,Yes,1 tablet at night
273,Glimepiride,200ml,Diabetes,Levocetirizine,No,As directed by doctor
274,Paracetamol,10ml,Inflammation,Ranitidine,No,1 tablet at night
275,Electral,200ml,Allergy,Glimepiride,No,1 tablet at night
276,Azithromycin,100mg,Immunity Boost,Insulin,Yes,1 tablet at night
277,Crocin,10ml,Diabetes,Zincovit,Yes,1 tablet daily
278,ORS,10ml,Immunity Boost,Famotidine,Yes,1 tablet after meals
279,Dolo,650mg,Cold,Electral,No,1 tablet at night
280,Diclofenac,200ml,Diabetes,Famotidine,Yes,1 capsule every 8 hrs
281,ORS,500mg,Pain,Levocetirizine,Yes,1 tablet daily
282,Zincovit,200ml,Dehydration,Metformin,Yes,As directed by doctor
283,Zincovit,500mg,Pain,Vitamin C,No,1 tablet at night
284,Zincovit,500mg,Diabetes,Crocin,Yes,1 capsule every 8 hrs
285,Zincovit,500mg,Immunity Boost,Amoxicillin,No,1 capsule every 8 hrs
286,Paracetamol,650mg,Throat Infection,Diclofenac,Yes,1 tablet after meals
287,Diclofenac,200ml,Fever,ORS,No,1 capsule every 8 hrs
288,Azithromycin,10ml,Allergy,Zincovit,No,1 tablet every 6 hrs
289,Insulin,650mg,Pain,Glimepiride,No,1 tablet after meals
290,Diclofenac,500mg,Inflammation,Ranitidine,No,As directed by doctor
291,Ranitidine,400mg,Inflammation,Ibuprofen,No,As directed by doctor
292,Azithromycin,650mg,Allergy,Insulin,Yes,1 capsule every 8 hrs
293,Zincovit,400mg,Immunity Boost,Clarithromycin,Yes,1 tablet every 6 hrs
294,Electral,10ml,Throat Infection,Zincovit,No,1 capsule every 8 hrs
295,Ibuprofen,10ml,Bacterial Infection,Paracetamol,Yes,1 tablet daily
296,Electral,400mg,Immunity Boost,Crocin,Yes,1 tablet at night
297,Dolo,100mg,Inflammation,Ranitidine,Yes,1 tablet at night
298,Famotidine,10ml,Headache,ORS,No,1 tablet every 6 hrs
299,Ranitidine,650mg,Allergy,Levocetirizine,Yes,1 tablet every 6 hrs
300,Zincovit,500mg,Acidity,Paracetamol,No,1 tablet at night
301,Metformin,400mg,Fever,Levocetirizine,Yes,1 tablet after meals
302,Diclofenac,250mg,Allergy,Electral,Yes,1 tablet at night
303,Ibuprofen,250mg,Immunity Boost,Amoxicillin,Yes,1 tablet after meals
304,ORS,100mg,Pain,Electral,Yes,1 tablet after meals
305,Ranitidine,250mg,Fever,Ibuprofen,No,1 tablet after meals
306,ORS,10ml,Allergy,Levocetirizine,No,As directed by doctor
307,Paracetamol,650mg,Inflammation,Ranitidine,No,1 tablet at night
308,Clarithromycin,650mg,Headache,Crocin,Yes,1 capsule every 8 hrs
309,Crocin,100mg,Pain,Metformin,No,1 tablet after meals
310,Electral,100mg,Fever,Diclofenac,No,1 tablet after meals
311,Crocin,650mg,Throat Infection,Dolo,Yes,1 tablet daily
312,Electral,650mg,Throat Infection,Levocetirizine,No,1 tablet after meals
313,ORS,250mg,Throat Infection,Ibuprofen,Yes,1 capsule every 8 hrs
314,Electral,10ml,Throat Infection,Metformin,No,1 tablet every 6 hrs
315,Famotidine,400mg,Cold,Glimepiride,No,1 tablet every 6 hrs
316,Insulin,200ml,Immunity Boost,Diclofenac,Yes,1 tablet at night
317,Azithromycin,400mg,Fever,Zincovit,No,1 capsule every 8 hrs
318,Ranitidine,10ml,Immunity Boost,Diclofenac,No,As directed by doctor
319,Paracetamol,650mg,Inflammation,Electral,No,1 tablet every 6 hrs
320,Electral,650mg,Allergy,Clarithromycin,Yes,1 tablet daily
321,Clarithromycin,400mg,Diabetes,ORS,No,1 capsule every 8 hrs
322,Paracetamol,10ml,Inflammation,Paracetamol,No,As directed by doctor
323,Diclofenac,500mg,Immunity Boost,Dolo,Yes,1 tablet daily
324,Glimepiride,10ml,Dehydration,Levocetirizine,No,1 tablet after meals
325,Electral,500mg,Diabetes,Cetirizine,Yes,1 tablet daily
326,Insulin,250mg,Inflammation,Paracetamol,No,1 tablet daily
327,Diclofenac,10ml,Dehydration,Ranitidine,Yes,1 tablet after meals
328,Insulin,400mg,Pain,Famotidine,No,1 tablet every 6 hrs
329,Ranitidine,10ml,Throat Infection,Dolo,No,1 tablet every 6 hrs
330,Dolo,400mg,Pain,Azithromycin,No,1 capsule every 8 hrs
331,Clarithromycin,200ml,Headache,Vitamin C,No,1 capsule every 8 hrs
332,Ranitidine,250mg,Cold,Paracetamol,No,1 tablet after meals
333,Electral,100mg,Immunity Boost,Crocin,Yes,1 tablet at night
334,Ibuprofen,100mg,Pain,Levocetirizine,No,1 tablet after meals
335,Levocetirizine,650mg,Cold,Electral,No,1 capsule every 8 hrs
336,Azithromycin,650mg,Headache,Paracetamol,Yes,1 tablet every 6 hrs
337,ORS,10ml,Dehydration,Levocetirizine,Yes,1 tablet every 6 hrs
338,Metformin,650mg,Diabetes,Zincovit,Yes,1 tablet daily
339,Metformin,10ml,Cold,Crocin,No,1 tablet every 6 hrs
340,Zincovit,250mg,Dehydration,Zincovit,Yes,1 tablet every 6 hrs
341,Glimepiride,250mg,Bacterial Infection,Diclofenac,Yes,1 tablet every 6 hrs
342,Amoxicillin,200ml,Fever,Zincovit,No,1 tablet every 6 hrs
343,Metformin,100mg,Throat Infection,Clarithromycin,Yes,1 tablet daily
344,Clarithromycin,200ml,Dehydration,Vitamin C,No,1 tablet after meals
345,ORS,250mg,Allergy,Ibuprofen,Yes,As directed by doctor
346,Famotidine,500mg,Cold,Zincovit,Yes,1 capsule every 8 hrs
347,ORS,100mg,Dehydration,Dolo,No,1 tablet daily
348,Ibuprofen,250mg,Bacterial Infection,Glimepiride,No,As directed by doctor
349,Azithromycin,400mg,Cold,Ranitidine,Yes,1 capsule every 8 hrs
350,Paracetamol,10ml,Allergy,ORS,Yes,1 tablet every 6 hrs
351,Paracetamol,250mg,Fever,Crocin,No,1 tablet every 6 hrs
352,Amoxicillin,500mg,Allergy,Famotidine,No,1 tablet at night
353,Insulin,200ml,Headache,Paracetamol,No,1 tablet daily
354,Crocin,650mg,Bacterial Infection,Vitamin C,Yes,As directed by doctor
355,Ranitidine,100mg,Headache,Amoxicillin,No,As directed by doctor
356,Glimepiride,10ml,Throat Infection,Amoxicillin,No,1 tablet every 6 hrs
357,Paracetamol,400mg,Immunity Boost,Ibuprofen,Yes,1 tablet daily
358,Zincovit,400mg,Inflammation,Diclofenac,No,1 tablet daily
359,Azithromycin,500mg,Allergy,Paracetamol,No,As directed by doctor
360,Electral,650mg,Headache,Crocin,Yes,1 tablet at night
361,Cetirizine,10ml,Allergy,Electral,Yes,1 tablet every 6 hrs
362,Dolo,10ml,Headache,Metformin,Yes,1 tablet daily
363,ORS,10ml,Inflammation,Glimepiride,Yes,1 tablet at night
364,Dolo,650mg,Fever,Famotidine,Yes,As directed by doctor
365,Diclofenac,650mg,Inflammation,Insulin,Yes,1 tablet every 6 hrs
366,Dolo,10ml,Cold,Zincovit,Yes,1 tablet at night
367,Azithromycin,100mg,Cold,Zincovit,No,1 tablet every 6 hrs
368,Ranitidine,200ml,Acidity,Diclofenac,Yes,1 tablet daily
369,Famotidine,100mg,Cold,Levocetirizine,No,As directed by doctor
370,Diclofenac,500mg,Immunity Boost,Crocin,Yes,As directed by doctor
371,Metformin,400mg,Throat Infection,Clarithromycin,No,1 tablet after meals
372,Clarithromycin,100mg,Immunity Boost,Paracetamol,Yes,1 tablet after meals
